,0
5784,what are you going to do doctor
5785,listen are you really a medical doctor
5786,well look what can we do to help
5787,have you any idea what it might be
5788,eh là questce que vous fabriquez ici imbécile didiot  vous navez rien dautre à faire  vous croyez que nous sommes en train de nous amuser  oh come on get out of the way
5789,what the blazes are you doing
5790,the piper i knew
5791,what come on
5792,isnt there any clue at all
5793,well have to go and tell mister hobson i suppose
5794,doctor it wouldnt i mean it couldnt possibly have anything to do with lister could it
5795,well i mean you did say that you took your degree in glasgow in 1888 it does seem an awful long time from now 2070 or whatever it is
5796,oh no no no no no i was just wondering if there was anything that joseph lister didnt know in 1888 that might possibly help you now
5797,thats as might be but thats the third person to disappear in the past few hours its completely illogical single beds no way to get out
5798,what
5799,okay it must be you people weve got some straight talking to do you and i
5800,yes
5801,do you hear me
5802,excuse me please
5803,now look here
5804,i dont care what i said
5805,found something
5806,really
5807,doctor did you mean that
5808,youve found something
5809,here doctor youve completed your examination
5810,turned the base upside down poked into everything
5811,and youve found
5812,just as i thought
5813,so what i told you still stands
5814,its very hot doctor what about you
5815,well doctor as i was saying youve had your chance and youve come up with absolutely nothing now i want
5816,here charlie and you whats your name ben give us a hand to get him into the medical unit
5817,what the hell
5818,what are you doing
5819,what like the space plague
5820,thats all very well but how did it get in here
5821,my men have searched every square inch of the base theres no space to hide a cat let alone a cyberman anyhow how did they get in
5822,what is it
5823,yes what of it
5824,yes
5825,none whatever
5826,well
5827,well there were always people in here so they probably
5828,oh no no no no
5829,quick get out of here
5830,you devils you killed him an unarmed man  cyberman 1
5831,but you were all killed  cyberman 1
5832,why did they go to so such trouble
5833,why didnt they operate the controls themselves    cyberman 1
5834,quickly go and get their chest things
5835,the rest of you lower the armoured doors at all exits and you make up as much of that gubbins as youve got we may need it
5836,that makes it just over the rim
5837,about thirty degrees
5838,what do you mean
5839,its them theyre coming everybody inside quick
5840,not now weve discovered how they got in
5841,well someones got to go
5842,they get us every way these creatures
5843,all we have to do doctor is to hold on here
5844,what do you mean
5845,ben        cyberman
5846,over here
5847,no thats the scanner
5848,the rocket was deflected off course but why and how
5849,have the cybermen got a gravity weapon do you think
5850,youre not suggesting that
5851,i told you hed been on duty too long
5852,but he was in the medical room
5853,and the other men in there
5854,give me a hand off will you
5855,oh i see its so quiet
5856,weve barricaded the sick bay with half the tables and chairs in the base but it wont hold forever doctor
5857,doctor what do you make of this
5858,is there anything known to science the cybermen havent got
5859,looks like another of their spaceships
5860,doctor
5861,yes
5862,doctor are you all right
5863,the gravitron deflected it the force field
5864,whatll they cook up next i wonder
5865,down
5866,ah well i dont
5867,no but we should try
5868,it can only go to here any further down and the field may affect the base
5869,well i suppose youre right
5870,hes ready
5871,thats as far as itll go
5872,right
5873,yes its off
5874,it wont go
5875,ah stupid of me of course it wont
5876,well the angular cut out its obvious isnt it you see theres got to be a safety cut out on the angle of the probe otherwise it might affect the whole base there thats done it no no no stand back benoit can do it now
5877,switch on
5878,well thats taken care of the cybermen now then everybody weve got to get this gravitron in operation again as fast as we can
5879,could that be them
5880,yes and look what happened last time
5881,what are you up to now
5882,the what
5883,the second sight very dangerous
5884,doctor
5885,aye well im not being left without nothing to defend ourselves with
5886,why
5887,jamie
5888,er any good asking
5889,how do you know
5890,oh its a very responsible job i take my instructions from our control centre oh it all works very well as you will see please follow me
5891,very well ola i will look after our guests you will no doubt wish to take care of poor medok you may leave well our thanks to you and welcome you are indeed a brave man to tackle someone as disturbed as medok
5892,oh you will eat later here we revive the weary body
5893,delighted to see you delighted to have you with us now you have a complete choice of all our treatments we have steam baths beauty treatments perhaps a massage you sir of course would like your clothes cleaned and theres sunlight treatment moonlight treatment sparkling and effervescent sprays
5894,thats what im frightened of
5895,clothes reviver
5896,oh doctor you look gorgeous
5897,oh theyre fantastic you can see your face in them
5898,oh that sir is our rough and tumble machine for toning up the muscles
5899,come out of it doctor
5900,thats enough right get back all of you
5901,i dont know you you dont belong here
5902,can i help you
5903,how do you know
5904,listen
5905,someones coming
5906,get out of my way
5907,how did he get away whos responsible what happened
5908,you mean you let him go
5909,thats true ola he is a stranger here
5910,well send your patrol after him he cant have got far
5911,why do you say that
5912,anyone who spreads that kind of rumour in this colony will find himself in the hospital for correction
5913,now take the strangers to the labour centre ola see they learn something about us pete go with him
5914,we work very hard here
5915,get out
5916,who else knows im here
5917,whats it got to do with you
5918,all right if you really want to know its hard to say they move at night in the dark and horrible creatures like giant insects
5919,yes thats it
5920,oh yes
5921,a few but they lock them up in the correction hospital
5922,aye
5923,its dangerous to go off on your own after dark
5924,here we are doctor your young friends are in their rooms over there
5925,i hope you sleep well
5926,goodnight doctor      control
5927,why are you back
5928,hes coming well have to get out
5929,yes all right hes coming to the front of the house  ola
5930,you cant stay here
5931,theyll kill you
5932,thanks
5933,no look out there
5934,that proves it i wasnt seeing things
5935,it doesnt matter they cant lock me up again now i can prove it we know theyre real
5936,its the macra ola they are real ask the doctor hell tell you
5937,we dont want to know what the strangers think
5938,where do you think youre going
5939,stay where you are guard search him
5940,im sorry doctor i thought hed listen to reason
5941,bring the stranger in
5942,now whats this all about doctor
5943,i see very well you may leave us ola i will conduct the investigation myself
5944,you dont seem to realise how serious this business is doctor you have committed a crime
5945,what were you doing with medok you know hes a dangerous man
5946,you have already been told he has refused to cooperate and to obey orders he suffers from hallucinations
5947,what exactly do you mean by that
5948,oh very well bring him in
5949,why doctor are you afraid of something he might say
5950,silence
5951,ah
5952,well that was extremely brave why didnt you tell us this
5953,its better we tell the truth doctor
5954,well im extremely sorry about it doctor and of course youre free to go
5955,oh well hell be taken back to the hospital for correction hell be given another course of treatment and when he returns to the colony medok will be a changed man he will cooperate and he will obey orders hell be just like the rest of us
5956,well im sorry to have disturbed you doctor and many thanks again for your help
5957,i never heard you talk that way before ben    voice
5958,doctor what on earth are you doing
5959,what happened
5960,but ive been asleep
5961,no
5962,why do you say that
5963,what are you up to
5964,lay off mate youll find yourself on a charge
5965,pack it in doctor the way you mess about you could do some damage
5966,what are you on about look get out of it its against the law
5967,hey whats all the noise
5968,oh very badly doctor i told ben i kept hearing wee voices
5969,ay i dont understand
5970,whats the matter with him
5971,dont let him go
5972,but we cannot let him go doctor
5973,doctor hes going to go and tell the guards weve got to get you out of here
5974,but hes betrayed you
5975,all right youre coming too get out both of you
5976,you have destroyed three nerve circuits doctor you have burned them out what have you to say
5977,you admit it
5978,what is it whats the matter
5979,leave that alone
5980,you will be punished for this
5981,who are you stabbing in the back this time
5982,there were no such creatures there are no such things as macra
5983,but you heard him
5984,that is quite untrue control always acts for the best
5985,youve seen our controller
5986,of course he is youve heard his voice
5987,well all right if you wish ill ask as you can hear control they ask to see you in person
5988,yes pilot    music
5989,whats the matter
5990,yes
5991,oh very good ola ill recall the shift leader
5992,aye well you dont send a lassie and an old man down to dig
5993,hmm oh well yes i suppose thats all right
5994,it is
5995,oh no you stay up here doctor i wouldnt know what to do
5996,do you not think you might make better use of the opportunity doctor
5997,what was all that
5998,surely you could have seen to that oh here youd better take this checklist
5999,i have nothing to be afraid of
6000,the voices tell me what to do
6001,i do what i am told
6002,i dont know what you mean it is my duty
6003,for a poisonous gas which we mine from the bowels of this planet which kills us if we breathe it no one knows what its used for
6004,where did you find it
6005,the formula
6006,dont lie that is a secret known only to three people in the colony
6007,naturally and youre not asking me to believe that in a few moments you have been able to work out a formula which it has taken our combined computers years to perfect
6008,yes of course i know what youve done youve broken into our secret files havent you
6009,well you must have seen the document thats the exact computation
6010,do you really mean to say that you worked that out by yourself
6011,yes i thought so who was it
6012,backwards
6013,wipe it away get it off there before anybody else sees it
6014,we couldnt have an alarm its impossible no one ever escapes calling pit guard close exits to all gas shafts stand by a prisoner has escaped shoot on sight
6015,hello whos there    control
6016,control knows best
6017,i shall be punished
6018,control knows best
6019,it is jamie
6020,i saw him take the keys
6021,no
6022,i dont know i dont seem to be able to think straight
6023,control knows best
6024,jamie took those keys i must report him
6025,what do you mean
6026,yes thats right
6027,so you think hell be all right
6028,but whats that got to do with jamie
6029,oh doctor what on earth are you doing
6030,is that the same stuff that weve been pumping out of the pits
6031,shh somebodys coming
6032,the old shaft doctor thats where jamie is
6033,for goodness sake doctor what are you going on about
6034,doctor youve got to do something to help him
6035,but if its life and death to them why do they waste it why divert it into the old shaft
6036,weve got to help him
6037,all ready  control
6038,doctor quickly
6039,full pressure is being maintained on master control reserves are standing by
6040,doctor what could be happening to jamie now
6041,right
6042,full pressure
6043,zero
6044,whats the matter
6045,what are you doing
6046,well i dont need your help thank you
6047,why whats the matter
6048,dont be ridiculous
6049,dont touch that
6050,that controls the inflow system
6051,but what are you doing
6052,doctor what are you doing
6053,but stop it youve no idea what youre doing
6054,you must be mad youll be locked up
6055,right doctor somethings happened to this one
6056,its reads zero
6057,full pressure
6058,you can do nothing youll only delay matters its a simple matter for me to reconnect the gas
6059,now stop that youve enough to answer for already guard guard
6060,theyre bound to get in sooner or later
6061,the keys my keys where are my keys
6062,its going to give way
6063,no not that way it goes to the pits quick try that one
6064,i cant
6065,where are we
6066,where do you suppose they lead
6067,doctor i think these are the pipes that carry the poisonous gas
6068,well dont you think wed better stay here
6069,but doctor
6070,jamie im    control
6071,i dont hear anything
6072,this is control the day shift is to begin work in the emergency gas shaft all pressures are to be maintained the colony cannot live without gas
6073,but how long have they been there i mean they werent always in control were they
6074,you make it sound like a disease
6075,theyre in the control room it must be like getting into the brain mustnt it
6076,shh they might hear you
6077,doctor weve got to bring the pilot here and then we can show him these creatures really do exist
6078,ever since these strangers arrived your authority in this colony has gone to pieces they come and go as they please and even now two of them are still missing
6079,doctor what did ye come here for youve walked into a trap
6080,yes but doctor
6081,that is no longer necessary
6082,now you wish to see me
6083,no wait you must listen to what the doctors got to tell you theyre only saying that because they know what weve seen  control
6084,contact control immediately report the pilot
6085,or very foolish what is it you wanted to tell me
6086,but doctor this is forbidden territory
6087,stop stop youre breaking the law
6088,i really dont know why i trust you doctor
6089,did you hear that
6090,why theyre horrible no doctor it is they who must be destroyed we must kill them  control
6091,what are they doctor i mean some monstrous form of bacteria insects or what
6092,how
6093,you mean defy control
6094,aye what can they do in four minutes doctor
6095,its the gas its coming in here
6096,why no ive never been here before
6097,doctor im getting dizzy
6098,its coming from over here doctor
6099,its coming from here as well  control
6100,ben     ben
6101,oh shut up okay doctor fire away  control
6102,well ive got a tipoff hell want to hear hey doctor doctor
6103,relax you wait till you hear what theyre going to do with you
6104,yeah i just heard it on the grapevine theyre going to draft us as members of the colony and make you the next pilot
6105,yes but how
6106,hey you stop
6107,police commandant here inbound aircraft reports obstruction on intersection of runways five and two investigate and report back police box
6108,theres polly
6109,no no he was murdered by another man
6110,well i went into the hangar to get away from a policeman and there were two men in there one of them had a gun and he shot the other one
6111,well he chased me but i managed to lose him
6112,well i think so i can remember the name it was chameleon something or other hey wheres ben
6113,spencer  polly
6114,with a gun
6115,no it was too far away why
6116,it was definitely some kind of a gun doctor
6117,that man who chased us we could find him maybe
6118,but what about him we cant just leave him here
6119,are you sure this is the right way doctor
6120,you dont think my friends are just going to forget me like that do you    jamie
6121,would doctor scott passenger recently arrived from alderney on flight number jy17 please return to the ticket desk
6122,just a moment sir all in good time thank you madam now sir your passport please
6123,i am in authority your passport please
6124,whats a passport doctor
6125,well sir if i were you id inform the police
6126,through this door and turn to your left
6127,may i see your passport sir
6128,i think you must be mistaken sir you couldnt have got on the aircraft without passports
6129,thats just what im saying were ow
6130,i think youll have plenty of opportunity to see someone in authority
6131,will you take a seat please over there
6132,you say this girl actually witnessed a murder
6133,a what
6134,oh people who vanish ray guns is this some sort of joke
6135,perhaps youd kindly explain why you have no passports
6136,i am in charge in this place thank you now youll both accompany me to this hangar immediately
6137,aye the names up outside the body was lying just here
6138,what exactly are you doing
6139,some sort of mystery man no doubt
6140,oh a man with nothing in his pockets
6141,what did he have in his pocket
6142,a postage stamp
6143,oh i am sure thatll make all the difference
6144,what have you found now
6145,what about this doctor this wasnt here before its a burn mark
6146,oh ive had enough of this you two are coming with me
6147,ray gun burnt fibres foreign stamps
6148,all right unused foreign stamps i must be as mad as you are even to be listening you
6149,done with what
6150,plastic cups now im going to do some investigating of my own
6151,oh but you have and what i am going to investigate is you and why youre both here in the airport thank you captain blade come on you two out
6152,hes reaching suffocation point hurry
6153,doctor look
6154,according to them they know you
6155,but polly its us me and the doctor
6156,i am michelle leuppi from zurich
6157,oh yes thats quite in order thank you excuse me
6158,youre going to wait here until the superintendent of police arrives now understand that
6159,no i am going to tell him about you put me through to superintendent reynolds please
6160,hello super commandant ive got a couple of illegal entrants here yes immigration desk number five
6161,theyre still hunting for us doctor
6162,a fine chance we have of doing that with polly kidding on she doesnae know us
6163,of course it was polly you saw her
6164,doctor
6165,polly said chameleon something
6166,what do they mean by budget
6167,its just a name i suppose
6168,doctor jamie
6169,what happened to you two and wheres polly
6170,look theres polly
6171,chameleon tours
6172,please go away
6173,i dont know what youre talking about
6174,i tell you i dont know what youre talking about
6175,i didnt see anything i think youre mad if id seen anyone shot id have gone to the police
6176,i mean murdered
6177,whats happened to her doctor
6178,well you see youve got your
6179,do you think shes been brainwashed
6180,well theyre not looking for me
6181,would you come in please
6182,airport police please
6183,ive heard all i want to from you what do you mean theyre engaged this is the commandant thank you
6184,hello police commandant would you send a couple of men down here at once please
6185,not for one second ive heard all i want to hear about burnt fibres ray guns disappearing people
6186,did you say chameleon tours
6187,all right jean ill handle this take this man away put him under lock and key and keep him there
6188,doctor id like you to meet this young lady
6189,shes still inside
6190,will all passengers please assemble in the departure lounge
6191,ah doctor theres a man here wants to talk to you
6192,there you are sir
6193,have you ever seen that man
6194,all right then doctor well go and see the commandant i want him to hear your story
6195,this time hes going to believe you
6196,all right all right ill accept that you found a body but i still want to know where you come from and why you have no passport
6197,oh very well make it brief
6198,you never told me that doctor another dead man
6199,whos this one
6200,oh indeed
6201,it looks like a fountain pen to me
6202,oh and whats your theory
6203,a ray gun
6204,oh really
6205,no now be patient sir we are trying to understand you
6206,for what
6207,and is all this supposed to be taking place in my airport
6208,well im very sorry sir but you know he hasnt broken any law except for this immigration business and thats not my responsibility
6209,and who is he
6210,now come on doctor wait a minute were not certain of that yet
6211,well no
6212,and just where do you think theyre taking them
6213,that hardly answers my que what did you say
6214,er look doctor i think you ought to produce some evidence to support all this
6215,a pen do you call that evidence
6216,its turned to ice
6217,doctor
6218,here are the remaining flight schedules for chameleon tours you wanted
6219,this is the limit i will not have my control room invaded
6220,why what have you got there
6221,in the office in that hangar you see what they mean
6222,but why would anyone want to abduct these young people
6223,no no no no no doctor ill give you the freedom of the airport for twelve hours heaven help me at the end of that time i shall expect you back here with some real facts this time
6224,doctor ive made out a pass for you and for your two friends
6225,excuse me sir theres a chameleon flight coming in now
6226,gatwick control to alpha delta sierra xray lima i will now give you your heading
6227,seven or eight
6228,four i could get their registration numbers if you like why do you ask
6229,excuse me
6230,oh that one sir look hes turning left at dunsfold i shall hold him now over epsom until i can give him landing clearance
6231,hundred and thirty miles sir why
6232,ah you were saying sir
6233,once theyve left gatwick control zone weve finished with them
6234,arent you rather wasting your twelve hours hanging around here disturbing my people
6235,are you sure this is the right room doctor
6236,aye
6237,what
6238,well theres nothing here now
6239,aye he would a solid wall
6240,aye and we still havent found ben and polly what do you thinks happened to them
6241,right
6242,i dont think itll reach where youre going chameleon flight four one three to control request start up
6243,whats that doctor
6244,hey whats that
6245,are you all right
6246,aye doctor its moving towards us
6247,neither can i oh wait a minute i can move one arm but i cant move away            samantha
6248,yes
6249,i cant
6250,got it
6251,ay
6252,ill try doctor but why
6253,its a risk ill have to take
6254,why i can move
6255,do you think thats what happened to ben and polly doctor
6256,are you sure
6257,and we werent
6258,but to try and do something like this in broad daylight
6259,and brian or have you forgotten about him
6260,and wheres that
6261,ay
6262,aye
6263,all right what can i do
6264,ill say i had me arms round his neck
6265,right
6266,shes got a lot of courage that wee lass doctor
6267,employment  jenkins 2
6268,how am i doing doctor
6269,if the tablets do not help come and see me again whats the matter with him
6270,somnalin
6271,im afraid you cant go there
6272,im sorry doctor you cant take your patient in there
6273,oh its not that i have someone coming for an xray
6274,oh doctor have you seen inspector crossland
6275,well scotland yard are looking for him and we cant find him anywhere also your miss briggs wants to see you
6276,well she said something about going to the chameleon kiosk
6277,ill keep an eye on her doctor
6278,hmm oh he said he was going to make some enquires about chameleon tours
6279,arent you rather jumping to conclusions
6280,commandant ive found out whats been happening
6281,well in that case they must be flying these young people to some secret airfield but why
6282,right after the turnround well have it followed this time
6283,get me the raf station manston
6284,medical oh come on
6285,but anyone can go in there
6286,isnt it possible for your assistant to come down here commandant but im not supposed to leave here all right sir if you insist  pinto picks up a medical bag and leaves the doctor enters and goes straight to
6287,now look here jean
6288,did i give you enough time
6289,what is all this you werent ill at all were you
6290,on your instructions
6291,now what are these
6292,well hes probably off duty in that case hell be back on shift in a couple of hours
6293,well this time theyll have the raf on their tail
6294,oh ten miles plus
6295,thats the fifty mile mark theyre passing now
6296,two three decimal seven nine           heslington
6297,gatwick to raf 241 do you read me
6298,hmmm
6299,but with two aircraft ditching there must be some signs of wreckage
6300,because it disappeared off our radar screen
6301,because it must have collided with the raf plane and dropped like a stone
6302,you see when a plane on that radar appears to stand still it is in point of fact dropping straight down
6303,oh my dear doctor to get above our radar umbrella like that itd have to climb vertically until it was a hundred miles high the darned thing would be in outer space
6304,commandant i see did the pilot managed to bail out im sorry theyve found the remains of that raf plane the pilot had been electrocuted
6305,i dont know doctor i just dont know what to think if only there was one solid piece of evidence
6306,i think perhaps you should explain doctor after all this man is working for me
6307,we all have to help in this meadows roll up your sleeve
6308,now get him in this chair jean send for the police all right doctor go ahead
6309,but what use would our people be to you  meadows 2
6310,fifty thousand
6311,ill have the whole place torn to pieces to find them  meadows 2
6312,you you mustnt thats all
6313,can i help you
6314,im afraid i dont understand
6315,is this man ill officer
6316,what are you talking about
6317,please take your hands off me
6318,you cant go in there
6319,yeah oh i thought i was done for there pins and needles
6320,what are you doing
6321,look out
6322,she vanished  meadows 2
6323,doctor whats happened to jamie
6324,doctor jamie wasnt anywhere near the kiosk the last time look youre not listening i think theyve got jamie
6325,well you should know you got him to pinch me ticket
6326,to stop me from going to rome
6327,has gone in my place
6328,now then doctor whats all this about personnel files
6329,right ill have them all under arrest within fifteen minutes airport police please now look at this
6330,you see here their last flight of the season goes in an hour superintendent reynolds please
6331,superintendent commandant here
6332,will you hold on a moment please
6333,why not
6334,right well keep tracking them it maybe the chameleon plane returning now look here doctor all very well talking about getting on that plane but how
6335,yes yes some of our people have been processed twice
6336,but even if you get on that plane what do you hope to do
6337,whats that
6338,of course and get those fearful things off their arms
6339,yes i see that but i still dont see how youre going to get on that plane let alone convince them that youre one of their people
6340,jean get onto superintendent reynolds
6341,why
6342,a pity it was useful having someone in air traffic control but then of course we have possession of the doctors brain
6343,undoubtedly
6344,i am taking everybody back to the satellite on the next plane its the last flight surely you havent forgotten that
6345,yes of course i understand what have you done with his original
6346,well it should be with the others
6347,do you think we convinced him
6348,weve got to think of it jean wherever it is the doctors relying on us thousands of lives are depending on us finding those originals and quickly
6349,do you think hes suspects
6350,you have your orders captain blade
6351,my instructions dont apply to you you two wont be needing living space
6352,oh yes youre here to stay but not in your present state
6353,get me the public address room heslington divert all inbound aircraft public address room this is the commandant switch me through to the pa system and stop all other announcements until further instructions this is the airport commandant speaking    commandant
6354,what did you hope to achieve here
6355,theyre only human beings
6356,yes  jamie 2
6357,why not
6358,if youre looking for your friends original doctor you wont find it in here
6359,were well ahead of schedule we can wait proceed with the processing by the way captain blade congratulations on bringing this man here i personally will decide which of our people is to have his identity
6360,be quiet
6361,what did you mean about our originals
6362,hes lying come on lets get him into the machine before the director returns
6363,what list
6364,wait where did you find the originals
6365,proceed with the processing in future take your orders only from me
6366,what a pity you wont be able to see it the nurse
6367,sit down
6368,sit down
6369,you should have been watching him send for a new unit you havent averted your fate only postponed it
6370,that is a question for our scientists
6371,be quiet this has nothing to do with you
6372,get to that microphone
6373,doctor the microphone
6374,yes i think so
6375,ah what a relief
6376,no use theyve all been miniaturised
6377,hes lying the planes themselves are the miniaturisation chambers and they work both ways what kind of continued existence would we have doctor
6378,you fools how can you trust him    jamie 2
6379,yes
6380,doctor
6381,how do you mean
6382,doctor the first plane is ready for take off weve got all the processed personnel including your three young friends aboard
6383,are you going with us doctor
6384,ill see you to the plane
6385,what will our future be doctor
6386,yes yes i know all flights were suspended as well as yours hello doctor all down safely
6387,splendid splendid ill take that brussels call now
6388,yes yes right
6389,ah bruxelles oui jaccord
6390,oh yes of course jean see that the doctor gets his property back will you goodbye doctor and thank you so much
6391,goodbye scotty
6392,goodbye jamie
6393,what are you doing
6394,yeah its good to feel normal again
6395,well no monsters or cybermen all this its normal i understand it
6396,what month is it
6397,that means its as if its as if weve never been away
6398,the thing is it is our world
6399,im sure you will mate goodbye doctor
6400,we might see you sometime take care
6401,im sad to see them go
6402,what things
6403,we cant have done
6404,you mean somebodys stolen it
6405,doctor
6406,ay
6407,my mate likes the wireless turned on at full blast i have to keep this turned down
6408,the what
6409,he said tardis or something
6410,me foreign youre the one thats foreign im scottish
6411,its getting further away all the time
6412,oh i dont know about that ive got a note here somewhere yeah here we are there police tel box collection 3 oclock
6413,been signed for
6414,yeah well i just do what im told youd better see the airport commandant or someone
6415,yeah firm name of er leatherman
6416,we should have followed that clue he gave us
6417,why
6418,very good mister kennedy
6419,oh no
6420,ay
6421,nothing except wait
6422,doctor
6423,wheres ken
6424,make him tell us where the tardis is
6425,why steal the tardis anyway
6426,theres no water here hey that looks a lot of money doctor
6427,youve found something else
6428,whats that
6429,a what
6430,not a sign of him the only chance we had
6431,well what else
6432,what does that mean
6433,now weve got something to go on
6434,now dont give up doctor remember bruce
6435,dont look so depressed doctor
6436,well ask one of the lasses in a moment when things get quieter
6437,its all quite obvious to me
6438,theyre just robbers thieves you understand
6439,which we havent followed up you know leatherman
6440,but surely theres more places than london
6441,do you think this is some sort of a trap doctor
6442,not the chameleons again
6443,oh if only the laird could see that why do i get all the difficult tasks doctor
6444,none of the lasses here can remember anybody called ken or kenneth
6445,aye but they do have a different lot on duty in the evening now maybe theyll know
6446,you mean up here doctor
6447,well no more than usual
6448,aye well maybe im just used to you
6449,i beg your pardon
6450,my card
6451,mister waterfields frightfully sorry but he cant meet you as arranged
6452,but he said if youd care to come to the shop at about ten tonight hell see to you personally
6453,rightho
6454,right
6455,it cant be a mistake even though he got your name wrong he knew mine
6456,ay
6457,i dont know what youre being so cautious about
6458,hey its halfpast the nine oclock
6459,but they made the appointment for ten why have we come early
6460,any good this
6461,hey doctor you know you told me outside it said genuine victorian antiques well all the stuff in heres brand new
6462,of course i did the mans a rogue
6463,except what
6464,now thats ridiculous
6465,then its a forgery
6466,ive got an idea
6467,all the stuff in here is genuine
6468,but brand new
6469,well that is impossible unless waterfield could have invented a time machine like the tardis doctor and hes bringing all this stuff back from victorian times
6470,no wait wait what am i to do with the body i cant i cant go on with this
6471,what about the wire
6472,oh what are you doing here
6473,for ten oclock
6474,aye
6475,my name isnt kenneth its keith now look i dont understand this
6476,well hes a man mister waterfield employs
6477,ken kennedy
6478,this old police box was for a collector of curios
6479,but why is it so important to you
6480,at the back
6481,we might be able to get over the yard gates you see this door has an electric lock on it
6482,doctor
6483,should we have let him go
6484,but the tardis
6485,looks as if waterfields cleared out
6486,well obviously he didnt know he was going to have a fight with kennedy och come on doctor lets find the tardis and go
6487,what its your picture
6488,fourteen fifteen
6489,hey doctor theres a keyhole
6490,hey the other half of your picture
6491,hello sir are you feeling better oh you did have a party last night didnt you sir the master sent this in for you
6492,oh no sir mister maxtible mister waterfield came back from abroad last night sir with you and the young gentleman dont you remember
6493,id best not wake him
6494,mollie dawson sir
6495,am i to pour some more
6496,the date
6497,mollie that will do the answers you require sir might come better from me my name is theodore maxtible and i am the owner of this house pray dont get up i have the greatest sympathy for your condition since i was the cause of it   targetblank marius goring
6498,there were circumstances
6499,please please doctor first things first you asked what date it was and where you were
6500,youre in my house some miles from canterbury the date is june the 2nd eighteen hundred and sixty six
6501,we had nothing to do with the death of that man
6502,you will believe doctor we are all of us the victims of a higher power a power more evil and more terrible than the human brain can imagine
6503,theyve taken my daughter victoria
6504,doctor do whatever it is they ask i beg of you my daughters life is in your hands
6505,here we are doctor this is hallowed ground here we shall not be disturbed by the servants
6506,patience my dear sir a little longer
6507,neither whitefield nor i were responsible for his death a cigar
6508,inhuman monsters
6509,let me explain
6510,i have always been fascinated by the concept of travelling through time waterfield here is an expert in certain technical matters and i have the money to indulge my whims everything you see about you here was constructed by us two
6511,yes now this is my theory a mirror reflects an image does it not
6512,so you may be standing there and yet appear to be standing fifty feet away well following the new investigations twelve years ago by j clark maxwell into electromagnetism and the experiments by faraday into static electricity
6513,like repels like in electricity doctor and so next waterfield and i attempted to repel the image in the mirrors wherever we directed
6514,that was our last experiment negative and positive electricity had failed so we tried static if only we could have known the powers we were going to unleash
6515,oh my dear fellow my dear dear fellow but we shall win through now that the doctor is here
6516,we had opened the way for them with our experiments they forced me into the horror of time travel doctor they ordered me to steal a box belonging to you and thus lure you into a trap and transport you here together with your colleague mister mccrimmon
6517,what could i do they said my daughter would die
6518,doctor now do you understand
6519,move back our plan has worked we shall triumph you will obey you will obey
6520,we have your time ship we will destroy it unless you help us with an experiment
6521,you will help the daleks test another human being
6522,do not question
6523,no harm will come to you if you agree where is your companion
6524,he is in the house i have done everything you asked me to
6525,he is the human being who is to be tested
6526,silence you will reveal nothing to your companion obey the daleks you are in our power
6527,i believe i do they i mean the daleks tell me they have always been defeated by human beings
6528,possibly because of some factor possessed by human beings
6529,that is absent in daleks
6530,oh my dear fellow i am merely surmising i know nothing definite but besides what could we have done even if i had known for certain the fact was nay is they hold your daughter victoria
6531,here we are sir ive been as quick as i could shall i pour for you poor young gentleman they shouldnt have given you so much to drink
6532,but they ordered you not to tell your friend mccrimmon anything
6533,but suppose he refuses to do what they want
6534,it was maxtibles invention
6535,but your friend is vital to the plan of these daleks absolutely essential
6536,oh why wont you understand the threats they make are not idle ones kennedy was murdered without your friend our only hope is gone unless unless you know something you seem to be well acquainted with the creatures
6537,mollie mollie mister mccrimmon has been kidnapped it means the end of us unless we can find him quickly
6538,i beg your pardon
6539,oh i see youre in good hands now i wont detain you any further good day doctor
6540,hes mad stark staring mad
6541,och its all right
6542,one minute he says this the next minute he says that can you make it out doctor im knocked on the head and im brought in here then that man terrall enters and denies having ordered the other man to do it well then he changes and he starts asking about victoria waterfield and in the next breath he tells me shes in paris
6543,what has
6544,you warned him told him about the daleks
6545,but you were expressly told
6546,are you sure
6547,now if he gets through here you will deal with him go now
6548,but we have your time machine
6549,so you will obey us
6550,yes that is what they want
6551,yes the conquest of humanity has eluded us the daleks must know why
6552,his travelling with you makes him unique
6553,request denied
6554,you have travelled too much through time you are more than human
6555,they have been brought from the dalek planet
6556,their life force is dormant before it is activated we want
6557,you will obey us
6558,do not antagonise them doctor they will destroy your time machine
6559,the human being with you must not be aware of the trial
6560,make him begin the test
6561,do you know my uncle was killed at inkerman sir so you see i do know what its like with soldiers oh oh im sorry sir
6562,i didnt mean to
6563,well cook said to me that if i did some dusting it would be all right
6564,you wont tell the master will you
6565,thank you sir sorry
6566,oh forget about all that
6567,look whereve you been
6568,aye what for the tardis
6569,oh am i is that bad then does that mean i wont be cooperative i wont do everything im told
6570,i overheard you and waterfield
6571,well whatever it is i dont like what youre doing
6572,no doctor youre forgetting the tardis was stolen and a man was murdered now how am i supposed to tell when i see you as friendly as you like with the murderer
6573,all right then but he stole the tardis and that still makes him a thief
6574,the daleks you keep telling me about the daleks and i havent even seen one youre always on about them but where are they
6575,no youll not get round me this time doctor youre up to something with waterfield and maxtible now what is it some scientific invention ah heres your friend
6576,thats not all youll hear
6577,well arent you
