,x,y
10164,16 add 46,62
10165,64 minus 3,61
10166,42 subtract 55,-13
10167,85 subtract 59,26
10168,23 add 44,67
10169,99 minus 1,98
10170,75 minus 4,71
10171,52 add 20,72
10172,71 minus 22,49
10173,90 add 87,177
10174,42 add 9,51
10175,48 minus 10,38
10176,77 plus 26,103
10177,98 subtract 30,68
10178,13 plus 88,101
10179,2 minus 61,-59
10180,79 add 6,85
10181,86 minus 76,10
10182,35 minus 66,-31
10183,16 plus 41,57
10184,44 plus 89,133
10185,28 minus 53,-25
10186,47 minus 60,-13
10187,81 minus 77,4
10188,83 plus 42,125
10189,60 minus 75,-15
10190,42 minus 48,-6
10191,100 add 84,184
10192,41 plus 31,72
10193,73 plus 10,83
10194,69 subtract 17,52
10195,74 minus 52,22
10196,90 minus 51,39
10197,18 plus 36,54
10198,100 plus 61,161
10199,55 add 45,100
10200,30 subtract 13,17
10201,78 plus 47,125
10202,86 subtract 37,49
10203,16 subtract 73,-57
10204,5 minus 6,-1
10205,45 subtract 70,-25
10206,68 minus 48,20
10207,40 plus 56,96
10208,91 add 58,149
10209,91 add 64,155
10210,95 minus 65,30
10211,64 add 46,110
10212,6 add 61,67
10213,96 subtract 53,43
10214,42 plus 79,121
10215,98 subtract 51,47
10216,41 subtract 79,-38
10217,36 plus 51,87
10218,63 minus 74,-11
10219,79 plus 40,119
10220,92 subtract 81,11
10221,17 minus 38,-21
10222,71 plus 50,121
10223,88 subtract 18,70
10224,19 subtract 23,-4
10225,81 subtract 67,14
10226,64 add 98,162
10227,8 plus 6,14
10228,83 plus 9,92
10229,66 subtract 62,4
10230,20 minus 47,-27
10231,39 minus 94,-55
10232,43 plus 6,49
10233,96 add 86,182
10234,29 add 92,121
10235,24 add 35,59
10236,78 subtract 31,47
10237,98 subtract 60,38
10238,68 plus 49,117
10239,29 minus 80,-51
10240,6 minus 29,-23
10241,92 minus 70,22
10242,37 plus 43,80
10243,48 plus 25,73
10244,16 add 29,45
10245,27 minus 6,21
10246,11 subtract 94,-83
10247,63 add 78,141
10248,72 subtract 24,48
10249,68 plus 37,105
10250,14 plus 85,99
10251,53 plus 21,74
10252,7 subtract 57,-50
10253,99 plus 74,173
10254,52 subtract 46,6
10255,81 minus 63,18
10256,21 subtract 83,-62
10257,76 add 63,139
10258,81 subtract 66,15
10259,28 subtract 86,-58
10260,45 plus 2,47
10261,57 minus 81,-24
10262,74 plus 67,141
10263,30 plus 16,46
10264,57 minus 94,-37
10265,80 add 25,105
10266,55 subtract 54,1
10267,53 minus 41,12
10268,72 minus 75,-3
10269,38 add 78,116
10270,63 plus 44,107
10271,79 minus 75,4
10272,22 add 30,52
10273,100 minus 8,92
10274,90 minus 97,-7
10275,90 minus 13,77
10276,93 subtract 91,2
10277,74 minus 33,41
10278,55 subtract 28,27
10279,81 subtract 20,61
10280,35 add 69,104
10281,58 subtract 61,-3
10282,17 subtract 45,-28
10283,82 subtract 21,61
10284,98 add 13,111
10285,4 subtract 76,-72
10286,19 plus 6,25
10287,32 add 63,95
10288,24 subtract 35,-11
10289,4 add 25,29
10290,94 minus 7,87
10291,29 add 24,53
10292,22 minus 18,4
10293,93 minus 57,36
10294,93 add 12,105
10295,49 subtract 73,-24
10296,67 plus 80,147
10297,48 subtract 82,-34
10298,3 plus 17,20
10299,41 add 3,44
10300,21 minus 8,13
10301,82 plus 55,137
10302,11 add 48,59
10303,40 subtract 1,39
10304,42 plus 58,100
10305,41 plus 14,55
10306,71 minus 100,-29
10307,32 minus 25,7
10308,54 minus 8,46
10309,15 subtract 7,8
10310,34 plus 77,111
10311,92 add 53,145
10312,69 minus 70,-1
10313,85 minus 67,18
10314,72 minus 45,27
10315,38 minus 15,23
10316,12 plus 49,61
10317,2 add 53,55
10318,82 subtract 8,74
10319,72 plus 96,168
10320,77 minus 68,9
10321,29 plus 91,120
10322,2 add 91,93
10323,65 add 41,106
10324,52 plus 88,140
10325,40 subtract 93,-53
10326,87 minus 66,21
10327,56 add 24,80
10328,79 plus 8,87
10329,15 plus 43,58
10330,72 add 23,95
10331,40 add 63,103
10332,8 add 12,20
10333,80 subtract 6,74
10334,59 plus 53,112
10335,31 minus 46,-15
10336,78 plus 59,137
10337,73 minus 87,-14
10338,78 plus 25,103
10339,12 plus 2,14
10340,74 plus 75,149
10341,87 subtract 36,51
10342,62 subtract 52,10
10343,49 add 1,50
10344,84 subtract 87,-3
10345,63 plus 65,128
10346,87 minus 14,73
10347,82 minus 72,10
10348,86 subtract 53,33
10349,38 plus 73,111
10350,46 subtract 23,23
10351,1 plus 64,65
10352,14 subtract 72,-58
10353,99 add 72,171
10354,33 plus 31,64
10355,7 plus 46,53
10356,34 subtract 30,4
10357,22 add 96,118
10358,60 minus 29,31
10359,40 minus 48,-8
10360,34 plus 49,83
10361,84 add 23,107
10362,12 add 69,81
10363,59 minus 99,-40
10364,85 add 73,158
10365,5 add 91,96
10366,53 minus 30,23
10367,90 add 7,97
10368,50 minus 76,-26
10369,64 subtract 63,1
10370,75 subtract 46,29
10371,35 subtract 15,20
10372,87 subtract 61,26
10373,68 add 55,123
10374,9 minus 80,-71
10375,26 plus 95,121
10376,84 plus 31,115
10377,19 minus 31,-12
10378,88 plus 4,92
10379,53 subtract 3,50
10380,88 add 93,181
10381,68 minus 46,22
10382,79 minus 54,25
10383,12 subtract 9,3
10384,34 minus 43,-9
10385,63 plus 48,111
10386,73 add 72,145
10387,98 add 12,110
10388,98 minus 23,75
10389,11 plus 49,60
10390,74 subtract 74,0
10391,6 subtract 54,-48
10392,62 minus 95,-33
10393,100 add 31,131
10394,16 add 95,111
10395,25 minus 91,-66
10396,56 add 45,101
10397,14 subtract 40,-26
10398,88 add 23,111
10399,97 minus 74,23
10400,39 subtract 88,-49
10401,91 minus 76,15
10402,26 add 59,85
10403,37 minus 89,-52
10404,80 plus 34,114
10405,46 add 27,73
10406,83 subtract 85,-2
10407,23 minus 97,-74
10408,13 minus 16,-3
10409,20 subtract 48,-28
10410,61 add 18,79
10411,99 add 43,142
10412,42 plus 32,74
10413,63 add 10,73
10414,30 minus 91,-61
10415,63 minus 76,-13
10416,57 add 74,131
10417,44 plus 84,128
10418,88 add 100,188
10419,6 subtract 100,-94
10420,96 subtract 6,90
10421,51 plus 60,111
10422,47 minus 53,-6
10423,53 add 58,111
10424,45 add 75,120
10425,48 minus 75,-27
10426,80 minus 66,14
10427,67 add 8,75
10428,44 plus 6,50
10429,67 plus 44,111
10430,62 subtract 49,13
10431,23 minus 96,-73
10432,26 subtract 44,-18
10433,73 add 51,124
10434,11 add 1,12
10435,25 add 20,45
10436,2 plus 3,5
10437,92 add 83,175
10438,36 plus 99,135
10439,40 plus 55,95
10440,95 add 66,161
10441,24 add 33,57
10442,20 minus 89,-69
10443,51 plus 56,107
10444,22 add 32,54
10445,69 plus 93,162
10446,98 subtract 74,24
10447,22 add 9,31
10448,25 minus 86,-61
10449,13 subtract 59,-46
10450,32 minus 78,-46
10451,100 plus 80,180
10452,17 minus 90,-73
10453,6 subtract 62,-56
10454,43 plus 93,136
10455,76 plus 75,151
10456,55 subtract 2,53
10457,11 minus 77,-66
10458,22 add 47,69
10459,82 plus 67,149
10460,34 add 82,116
10461,21 plus 82,103
10462,70 plus 92,162
10463,19 add 87,106
10464,64 minus 34,30
10465,56 add 64,120
10466,58 add 93,151
10467,33 subtract 62,-29
10468,13 minus 79,-66
10469,14 minus 65,-51
10470,3 minus 81,-78
10471,36 plus 10,46
10472,31 add 29,60
10473,87 subtract 22,65
10474,33 minus 89,-56
10475,70 plus 71,141
10476,59 subtract 56,3
10477,53 plus 41,94
10478,65 add 64,129
10479,24 minus 100,-76
10480,19 subtract 66,-47
10481,76 plus 42,118
10482,25 subtract 2,23
10483,60 plus 53,113
10484,52 minus 94,-42
10485,25 minus 12,13
10486,16 minus 79,-63
10487,17 subtract 11,6
10488,30 add 98,128
10489,63 plus 68,131
10490,79 minus 16,63
10491,64 subtract 51,13
10492,56 minus 82,-26
10493,41 add 14,55
10494,70 subtract 40,30
10495,26 minus 94,-68
10496,88 subtract 24,64
10497,30 plus 40,70
10498,87 subtract 97,-10
10499,81 plus 56,137
10500,66 subtract 19,47
10501,62 add 86,148
10502,42 add 13,55
10503,55 add 68,123
10504,62 add 7,69
10505,13 minus 38,-25
10506,51 add 5,56
10507,27 minus 15,12
10508,92 add 59,151
10509,97 subtract 60,37
10510,4 subtract 13,-9
10511,70 subtract 83,-13
10512,90 subtract 18,72
10513,27 plus 100,127
10514,77 subtract 56,21
10515,47 minus 96,-49
10516,97 subtract 82,15
10517,29 subtract 87,-58
10518,71 add 52,123
10519,23 add 93,116
10520,43 add 83,126
10521,34 subtract 34,0
10522,15 plus 84,99
10523,42 plus 3,45
10524,47 plus 41,88
10525,1 minus 24,-23
10526,95 add 55,150
10527,27 minus 15,12
10528,69 subtract 13,56
10529,41 add 82,123
10530,77 minus 94,-17
10531,39 plus 50,89
10532,8 plus 26,34
10533,72 minus 69,3
10534,94 add 34,128
10535,13 subtract 43,-30
10536,36 subtract 10,26
10537,56 minus 73,-17
10538,94 subtract 18,76
10539,50 add 60,110
10540,82 minus 92,-10
10541,93 add 50,143
10542,1 plus 11,12
10543,18 plus 5,23
10544,89 add 96,185
10545,53 plus 67,120
10546,93 minus 93,0
10547,40 minus 35,5
10548,19 subtract 96,-77
10549,35 minus 66,-31
10550,56 minus 21,35
10551,49 minus 85,-36
10552,76 subtract 54,22
10553,63 subtract 9,54
10554,6 minus 93,-87
10555,22 subtract 56,-34
10556,23 plus 20,43
10557,17 subtract 59,-42
10558,31 subtract 33,-2
10559,91 subtract 13,78
10560,29 minus 83,-54
10561,22 minus 45,-23
10562,96 subtract 95,1
10563,6 add 78,84
10564,4 subtract 44,-40
10565,44 plus 82,126
10566,70 plus 10,80
10567,93 subtract 87,6
10568,90 plus 79,169
10569,6 subtract 79,-73
10570,99 add 39,138
10571,54 minus 57,-3
10572,98 add 7,105
10573,98 subtract 58,40
10574,42 add 18,60
10575,90 subtract 94,-4
10576,73 add 22,95
10577,21 subtract 25,-4
10578,69 minus 40,29
10579,22 plus 85,107
10580,38 add 92,130
10581,80 add 40,120
10582,33 subtract 56,-23
10583,71 minus 14,57
10584,38 add 89,127
10585,56 add 43,99
10586,51 add 19,70
10587,65 plus 68,133
10588,39 add 1,40
10589,49 add 51,100
10590,95 minus 63,32
10591,68 plus 70,138
10592,7 minus 15,-8
10593,38 add 49,87
10594,32 add 71,103
10595,59 plus 86,145
10596,92 subtract 9,83
10597,47 minus 21,26
10598,28 subtract 20,8
10599,70 minus 20,50
10600,39 subtract 79,-40
10601,49 add 2,51
10602,13 add 35,48
10603,11 plus 9,20
10604,5 add 23,28
10605,90 subtract 53,37
10606,63 subtract 9,54
10607,4 plus 96,100
10608,64 minus 5,59
10609,21 plus 23,44
10610,100 plus 68,168
10611,8 subtract 47,-39
10612,93 minus 43,50
10613,54 plus 41,95
10614,89 add 25,114
10615,78 minus 46,32
10616,28 minus 73,-45
10617,29 add 76,105
10618,62 minus 93,-31
10619,22 subtract 62,-40
10620,71 add 53,124
10621,82 subtract 71,11
10622,18 add 92,110
10623,91 subtract 84,7
10624,24 minus 32,-8
10625,99 plus 59,158
10626,30 minus 44,-14
10627,89 minus 88,1
10628,79 subtract 19,60
10629,70 minus 35,35
10630,30 add 98,128
10631,9 subtract 79,-70
10632,92 plus 77,169
10633,42 subtract 26,16
10634,19 subtract 40,-21
10635,96 minus 28,68
10636,62 subtract 75,-13
10637,97 add 7,104
10638,83 plus 54,137
10639,53 minus 10,43
10640,88 subtract 20,68
10641,85 subtract 16,69
10642,81 minus 97,-16
10643,10 plus 54,64
10644,15 minus 33,-18
10645,65 add 35,100
10646,32 plus 98,130
10647,60 subtract 19,41
10648,93 minus 3,90
10649,91 minus 24,67
10650,31 plus 69,100
10651,75 subtract 16,59
10652,27 add 38,65
10653,36 subtract 75,-39
10654,86 subtract 46,40
10655,76 plus 87,163
10656,51 add 10,61
10657,15 subtract 54,-39
10658,41 minus 12,29
10659,77 subtract 51,26
10660,13 add 76,89
10661,74 add 42,116
10662,89 add 69,158
10663,89 plus 6,95
10664,36 subtract 14,22
10665,32 plus 8,40
10666,41 subtract 1,40
10667,75 subtract 6,69
10668,4 subtract 39,-35
10669,99 add 56,155
10670,97 subtract 52,45
10671,21 minus 28,-7
10672,39 minus 90,-51
10673,78 subtract 79,-1
10674,34 add 19,53
10675,82 plus 90,172
10676,58 add 98,156
10677,7 add 38,45
10678,26 plus 25,51
10679,56 subtract 33,23
10680,77 minus 20,57
10681,99 add 93,192
10682,9 add 45,54
10683,42 minus 99,-57
10684,100 add 17,117
10685,46 plus 81,127
10686,14 plus 11,25
10687,16 add 58,74
10688,67 subtract 88,-21
10689,43 subtract 24,19
10690,79 add 44,123
10691,34 plus 7,41
10692,2 add 59,61
10693,33 add 77,110
10694,8 subtract 100,-92
10695,4 add 14,18
10696,68 plus 48,116
10697,67 subtract 82,-15
10698,17 minus 33,-16
10699,5 add 61,66
10700,7 plus 67,74
10701,66 subtract 92,-26
10702,42 minus 96,-54
10703,83 plus 17,100
10704,78 add 87,165
10705,38 minus 87,-49
10706,34 plus 30,64
10707,50 subtract 14,36
10708,43 minus 65,-22
10709,87 add 26,113
10710,83 subtract 95,-12
10711,61 plus 40,101
10712,10 subtract 48,-38
10713,19 add 11,30
10714,68 add 87,155
10715,24 plus 61,85
10716,84 plus 15,99
10717,75 minus 78,-3
10718,54 subtract 1,53
10719,64 add 46,110
10720,34 subtract 98,-64
10721,25 add 70,95
10722,80 subtract 76,4
10723,41 subtract 97,-56
10724,15 subtract 90,-75
10725,3 add 6,9
10726,11 add 67,78
10727,65 add 13,78
10728,92 add 41,133
10729,71 plus 39,110
10730,33 minus 98,-65
10731,99 plus 19,118
10732,46 add 50,96
10733,44 add 47,91
10734,83 add 80,163
10735,96 add 77,173
10736,58 minus 34,24
10737,14 subtract 3,11
10738,52 minus 72,-20
10739,4 subtract 85,-81
10740,62 minus 34,28
10741,22 subtract 60,-38
10742,4 add 67,71
10743,93 subtract 13,80
10744,12 add 19,31
10745,82 add 38,120
10746,4 add 100,104
10747,35 subtract 32,3
10748,8 subtract 52,-44
10749,40 minus 26,14
10750,57 subtract 51,6
10751,92 subtract 26,66
10752,72 add 80,152
10753,23 add 33,56
10754,46 subtract 36,10
10755,28 subtract 75,-47
10756,29 add 9,38
10757,59 minus 12,47
10758,74 add 1,75
10759,81 plus 74,155
10760,59 minus 50,9
10761,85 subtract 13,72
10762,19 plus 28,47
10763,31 plus 19,50
10764,10 minus 45,-35
10765,37 subtract 44,-7
10766,11 add 59,70
10767,66 add 67,133
10768,9 plus 59,68
10769,54 subtract 96,-42
10770,57 plus 94,151
10771,68 minus 35,33
10772,32 subtract 74,-42
10773,89 subtract 81,8
10774,97 minus 60,37
10775,89 subtract 64,25
10776,68 subtract 79,-11
10777,36 add 74,110
10778,82 add 50,132
10779,97 subtract 34,63
10780,21 subtract 31,-10
10781,87 plus 54,141
10782,3 add 74,77
10783,71 add 41,112
10784,23 plus 16,39
10785,40 add 76,116
10786,88 plus 1,89
10787,77 add 4,81
10788,89 plus 16,105
10789,24 plus 9,33
10790,26 plus 100,126
10791,30 subtract 15,15
10792,4 add 4,8
10793,15 add 25,40
10794,50 plus 81,131
10795,66 minus 19,47
10796,91 add 2,93
10797,11 minus 79,-68
10798,98 plus 40,138
10799,59 minus 34,25
10800,42 add 17,59
10801,34 plus 59,93
10802,8 subtract 31,-23
10803,18 subtract 13,5
10804,47 subtract 28,19
10805,37 plus 41,78
10806,38 minus 42,-4
10807,3 minus 1,2
10808,39 add 68,107
10809,5 plus 63,68
10810,51 plus 65,116
10811,6 minus 55,-49
10812,67 add 99,166
10813,12 subtract 43,-31
10814,54 plus 35,89
10815,89 add 31,120
10816,25 add 46,71
10817,44 subtract 5,39
10818,66 minus 13,53
10819,23 add 16,39
10820,66 add 63,129
10821,94 subtract 89,5
10822,34 add 90,124
10823,62 add 95,157
10824,14 subtract 41,-27
10825,94 minus 66,28
10826,40 plus 7,47
10827,22 plus 34,56
10828,32 add 81,113
10829,83 plus 26,109
10830,31 plus 41,72
10831,82 subtract 5,77
10832,60 minus 70,-10
10833,88 plus 54,142
10834,4 add 94,98
10835,39 minus 72,-33
10836,58 add 76,134
10837,50 subtract 45,5
10838,71 add 8,79
10839,20 plus 58,78
10840,19 minus 16,3
10841,30 minus 61,-31
10842,71 add 50,121
10843,17 plus 61,78
10844,29 plus 85,114
10845,86 add 59,145
10846,42 minus 83,-41
10847,51 plus 61,112
10848,95 plus 90,185
10849,45 subtract 98,-53
10850,84 subtract 58,26
10851,76 minus 23,53
10852,65 plus 50,115
10853,76 subtract 68,8
10854,25 subtract 99,-74
10855,88 subtract 90,-2
10856,39 subtract 97,-58
10857,93 minus 22,71
10858,25 add 60,85
10859,67 subtract 50,17
10860,63 add 33,96
10861,96 minus 88,8
10862,58 subtract 29,29
10863,71 plus 7,78
10864,52 plus 64,116
10865,41 subtract 78,-37
10866,37 minus 22,15
10867,3 minus 2,1
10868,91 add 27,118
10869,5 minus 16,-11
10870,24 minus 100,-76
10871,78 plus 59,137
10872,30 subtract 92,-62
10873,60 subtract 77,-17
10874,42 plus 19,61
10875,92 subtract 89,3
10876,26 minus 60,-34
10877,87 plus 13,100
10878,13 minus 39,-26
10879,43 add 88,131
10880,48 add 13,61
10881,56 plus 45,101
10882,42 plus 53,95
10883,2 subtract 23,-21
10884,58 plus 97,155
10885,22 minus 90,-68
10886,45 plus 38,83
10887,10 add 94,104
10888,8 minus 56,-48
10889,13 plus 87,100
10890,59 minus 43,16
10891,97 subtract 50,47
10892,15 add 42,57
10893,17 add 10,27
10894,76 subtract 72,4
10895,22 plus 58,80
10896,74 plus 30,104
10897,76 plus 47,123
10898,9 minus 24,-15
10899,34 add 64,98
10900,27 add 52,79
10901,11 add 39,50
10902,73 minus 1,72
10903,99 subtract 22,77
10904,82 minus 42,40
10905,2 minus 23,-21
10906,66 plus 35,101
10907,32 plus 71,103
10908,12 plus 60,72
10909,37 minus 63,-26
10910,61 add 93,154
10911,69 add 85,154
10912,90 subtract 60,30
10913,37 plus 63,100
10914,6 subtract 18,-12
10915,42 minus 62,-20
10916,22 subtract 55,-33
10917,81 subtract 13,68
10918,5 plus 59,64
10919,32 add 84,116
10920,12 plus 57,69
10921,54 add 72,126
10922,64 minus 27,37
10923,57 minus 55,2
10924,86 add 32,118
10925,62 add 20,82
10926,91 add 37,128
10927,69 plus 80,149
10928,46 minus 35,11
10929,4 add 62,66
10930,80 add 57,137
10931,44 subtract 36,8
10932,74 add 97,171
10933,41 minus 9,32
10934,34 add 61,95
10935,44 plus 15,59
10936,77 subtract 1,76
10937,60 plus 99,159
10938,57 minus 6,51
10939,17 plus 46,63
10940,73 plus 33,106
10941,74 subtract 4,70
10942,53 plus 72,125
10943,94 add 3,97
10944,89 plus 100,189
10945,63 subtract 50,13
10946,20 add 96,116
10947,7 plus 4,11
10948,94 minus 98,-4
10949,17 minus 13,4
10950,6 add 31,37
10951,51 subtract 36,15
10952,57 plus 87,144
10953,57 plus 20,77
10954,84 minus 66,18
10955,3 minus 99,-96
10956,36 minus 32,4
10957,46 subtract 37,9
10958,67 minus 90,-23
10959,58 subtract 25,33
10960,58 plus 52,110
10961,37 plus 56,93
10962,13 minus 5,8
10963,35 add 80,115
10964,54 plus 76,130
10965,56 plus 53,109
10966,64 minus 84,-20
10967,88 add 21,109
10968,1 subtract 16,-15
10969,36 plus 67,103
10970,21 minus 16,5
10971,86 subtract 24,62
10972,46 plus 84,130
10973,16 add 64,80
10974,78 subtract 83,-5
10975,82 plus 47,129
10976,71 minus 43,28
10977,64 minus 82,-18
10978,69 subtract 34,35
10979,84 add 79,163
10980,85 add 46,131
10981,38 minus 89,-51
10982,44 subtract 56,-12
10983,38 subtract 71,-33
10984,55 subtract 67,-12
10985,36 plus 60,96
10986,78 add 53,131
10987,94 add 80,174
10988,45 subtract 53,-8
10989,62 plus 88,150
10990,90 minus 20,70
10991,95 plus 46,141
10992,31 plus 33,64
10993,26 plus 28,54
10994,90 minus 13,77
10995,45 minus 89,-44
10996,84 add 1,85
10997,46 minus 59,-13
10998,5 add 56,61
10999,65 plus 86,151
11000,57 add 65,122
11001,15 plus 41,56
11002,46 subtract 77,-31
11003,66 add 73,139
11004,40 plus 20,60
11005,20 minus 47,-27
11006,4 plus 53,57
11007,97 add 24,121
11008,64 subtract 91,-27
11009,57 plus 73,130
11010,27 minus 19,8
11011,52 minus 8,44
11012,81 add 98,179
11013,58 subtract 94,-36
11014,20 add 38,58
11015,68 plus 81,149
11016,3 plus 95,98
11017,64 plus 44,108
11018,72 plus 37,109
11019,69 plus 68,137
11020,4 plus 40,44
11021,12 add 42,54
11022,13 plus 42,55
11023,24 add 43,67
11024,82 subtract 79,3
11025,22 subtract 2,20
11026,47 add 90,137
11027,5 subtract 26,-21
11028,1 subtract 83,-82
11029,82 minus 63,19
11030,35 subtract 25,10
11031,3 minus 64,-61
11032,18 plus 80,98
11033,20 minus 20,0
11034,34 add 48,82
11035,39 plus 75,114
11036,53 subtract 56,-3
11037,95 subtract 66,29
11038,72 plus 61,133
11039,74 subtract 83,-9
11040,68 minus 89,-21
11041,74 plus 61,135
11042,46 minus 37,9
11043,19 minus 27,-8
11044,31 plus 5,36
11045,9 add 33,42
11046,71 minus 58,13
11047,11 add 31,42
11048,46 subtract 95,-49
11049,94 add 86,180
11050,58 plus 27,85
11051,24 add 45,69
11052,23 minus 35,-12
11053,25 subtract 99,-74
11054,11 subtract 10,1
11055,75 plus 97,172
11056,73 add 43,116
11057,50 minus 49,1
11058,68 minus 46,22
11059,34 minus 39,-5
11060,44 plus 22,66
11061,69 minus 2,67
11062,13 minus 86,-73
11063,39 plus 95,134
11064,77 minus 35,42
11065,28 minus 8,20
11066,10 add 70,80
11067,81 minus 9,72
11068,57 subtract 10,47
11069,67 minus 44,23
11070,10 minus 3,7
11071,68 minus 31,37
11072,58 subtract 55,3
11073,53 minus 34,19
11074,35 minus 77,-42
11075,72 minus 48,24
11076,31 minus 48,-17
11077,44 subtract 81,-37
11078,22 add 25,47
11079,79 add 91,170
11080,27 minus 18,9
11081,31 plus 86,117
11082,77 minus 72,5
11083,46 subtract 11,35
11084,78 subtract 19,59
11085,62 plus 26,88
11086,18 add 85,103
11087,48 plus 3,51
11088,57 minus 50,7
11089,100 add 98,198
11090,28 add 45,73
11091,62 subtract 64,-2
11092,4 add 33,37
11093,76 minus 83,-7
11094,46 add 68,114
11095,64 add 16,80
11096,17 subtract 95,-78
11097,6 plus 81,87
11098,46 minus 16,30
11099,70 plus 39,109
11100,8 plus 39,47
11101,100 minus 33,67
11102,90 add 27,117
11103,71 minus 82,-11
11104,63 add 88,151
11105,61 plus 2,63
11106,89 plus 40,129
11107,98 add 85,183
11108,82 add 50,132
11109,12 subtract 54,-42
11110,43 add 47,90
11111,42 add 75,117
11112,41 add 76,117
11113,46 plus 94,140
11114,20 add 6,26
11115,10 minus 98,-88
11116,33 subtract 27,6
11117,67 minus 47,20
11118,61 minus 15,46
11119,17 add 21,38
11120,72 plus 71,143
11121,13 add 71,84
11122,31 plus 66,97
11123,63 subtract 91,-28
11124,35 subtract 99,-64
11125,49 add 75,124
11126,88 plus 6,94
11127,82 plus 36,118
11128,77 subtract 92,-15
11129,4 add 29,33
11130,82 subtract 58,24
11131,50 subtract 95,-45
11132,72 add 93,165
11133,13 plus 36,49
11134,55 plus 41,96
11135,21 minus 95,-74
11136,90 subtract 64,26
11137,27 add 53,80
11138,43 plus 92,135
11139,94 plus 13,107
11140,75 add 49,124
11141,26 subtract 37,-11
11142,17 plus 10,27
11143,71 subtract 39,32
11144,35 plus 61,96
11145,48 minus 20,28
11146,70 subtract 12,58
11147,70 plus 15,85
11148,63 plus 71,134
11149,12 subtract 40,-28
11150,57 minus 96,-39
11151,5 add 70,75
11152,34 plus 89,123
11153,93 subtract 25,68
11154,84 add 73,157
11155,81 minus 50,31
11156,42 subtract 97,-55
11157,26 minus 73,-47
11158,10 subtract 82,-72
11159,26 plus 21,47
11160,7 plus 22,29
11161,2 subtract 45,-43
11162,56 subtract 64,-8
11163,85 subtract 68,17
11164,33 add 80,113
11165,22 plus 31,53
11166,23 plus 12,35
11167,2 add 87,89
11168,47 plus 66,113
11169,49 subtract 33,16
11170,42 subtract 97,-55
11171,56 plus 19,75
11172,45 add 13,58
11173,15 add 83,98
11174,23 minus 52,-29
11175,14 plus 88,102
11176,25 plus 45,70
11177,8 subtract 100,-92
11178,87 minus 96,-9
11179,41 plus 99,140
11180,30 subtract 76,-46
11181,16 add 34,50
11182,48 subtract 83,-35
11183,36 minus 44,-8
11184,69 plus 80,149
11185,8 plus 53,61
11186,92 subtract 19,73
11187,24 minus 68,-44
11188,28 add 78,106
11189,35 subtract 51,-16
11190,22 minus 28,-6
11191,77 plus 34,111
11192,41 subtract 2,39
11193,80 minus 59,21
11194,38 add 61,99
11195,92 plus 4,96
11196,60 minus 88,-28
11197,64 add 27,91
11198,91 plus 35,126
11199,69 add 74,143
11200,91 subtract 50,41
11201,100 add 70,170
11202,22 add 32,54
11203,94 plus 60,154
11204,17 subtract 21,-4
11205,77 add 7,84
11206,69 subtract 1,68
11207,86 minus 70,16
11208,2 subtract 86,-84
11209,47 add 66,113
11210,5 subtract 44,-39
11211,90 add 100,190
11212,9 add 58,67
11213,53 subtract 55,-2
11214,48 minus 37,11
11215,49 plus 34,83
11216,60 minus 99,-39
11217,11 plus 57,68
11218,62 add 84,146
11219,82 minus 41,41
11220,92 plus 13,105
11221,84 minus 91,-7
11222,71 subtract 100,-29
11223,90 minus 14,76
11224,38 plus 12,50
11225,39 subtract 14,25
11226,46 minus 35,11
11227,96 subtract 7,89
11228,49 plus 27,76
11229,85 plus 71,156
11230,72 minus 89,-17
11231,87 minus 68,19
11232,18 add 39,57
11233,1 add 93,94
11234,30 subtract 82,-52
11235,94 subtract 41,53
11236,41 subtract 20,21
11237,70 minus 64,6
11238,32 minus 3,29
11239,73 plus 67,140
11240,21 minus 25,-4
11241,32 subtract 89,-57
11242,95 subtract 80,15
11243,27 subtract 40,-13
11244,57 subtract 97,-40
11245,38 add 37,75
11246,32 add 92,124
11247,29 subtract 58,-29
11248,94 plus 87,181
11249,41 minus 64,-23
11250,6 plus 75,81
11251,92 minus 11,81
11252,28 subtract 38,-10
11253,14 minus 92,-78
11254,48 subtract 67,-19
11255,42 plus 80,122
11256,65 minus 40,25
11257,8 add 43,51
11258,40 minus 31,9
11259,39 subtract 87,-48
11260,31 minus 2,29
11261,99 plus 92,191
11262,25 subtract 95,-70
11263,61 add 33,94
11264,55 add 65,120
11265,32 plus 93,125
11266,50 add 46,96
11267,93 plus 90,183
11268,18 subtract 13,5
11269,48 subtract 89,-41
11270,26 plus 94,120
11271,83 minus 95,-12
11272,57 subtract 60,-3
11273,89 subtract 82,7
11274,98 add 31,129
11275,91 minus 79,12
11276,32 minus 63,-31
11277,88 plus 56,144
11278,14 minus 1,13
11279,100 subtract 54,46
11280,15 subtract 86,-71
11281,23 plus 17,40
11282,4 add 35,39
11283,48 plus 100,148
11284,60 plus 99,159
11285,96 subtract 20,76
11286,11 add 50,61
11287,90 plus 58,148
11288,61 subtract 4,57
11289,53 add 13,66
11290,61 minus 20,41
11291,19 add 89,108
11292,74 subtract 21,53
11293,75 plus 30,105
11294,59 minus 16,43
11295,21 subtract 67,-46
11296,60 minus 88,-28
11297,36 minus 47,-11
11298,56 add 100,156
11299,90 minus 36,54
11300,34 add 88,122
11301,22 subtract 31,-9
11302,93 plus 40,133
11303,12 plus 76,88
11304,53 plus 20,73
11305,70 subtract 4,66
11306,76 subtract 99,-23
